iter	Passed	Remaining
0	3	345
1	6	326
2	9	310
3	11	285
4	14	280
5	17	275
6	20	272
7	23	269
8	26	265
9	29	262
10	32	258
11	35	257
12	37	254
13	40	251
14	43	247
15	46	244
16	49	242
17	52	239
18	55	236
19	58	233
20	61	229
21	64	227
22	67	224
23	69	221
24	72	218
25	75	215
26	78	212
27	81	209
28	84	206
29	87	203
30	90	200
31	94	201
32	98	200
33	101	197
34	104	194
35	107	191
36	110	188
37	113	184
38	116	181
39	118	178
40	122	176
41	124	171
42	127	169
43	130	166
44	133	163
45	136	160
46	139	157
47	142	154
48	146	152
49	149	149
50	152	146
51	155	143
52	158	140
53	161	137
54	162	133
55	165	130
56	168	127
57	171	124
58	174	121
59	177	118
60	181	115
61	185	113
62	188	110
63	191	107
64	194	104
65	197	101
66	200	98
67	203	95
68	206	92
69	209	89
70	212	86
71	215	83
72	218	80
73	221	77
74	224	74
75	226	71
76	229	68
77	232	65
78	235	62
79	238	59
80	241	56
81	244	53
82	247	50
83	250	47
84	253	44
85	255	41
86	258	38
87	261	35
88	264	32
89	267	29
90	270	26
91	273	23
92	276	20
93	279	17
94	281	14
95	284	11
96	287	8
97	290	5
98	292	2
99	296	0
